topic,messages_in_buffer,messages_ever_sent
gracedb.test_fermi,0,454
lvalert-test.external_snews,0,0
gracedb-test01.cbc_pycbc_allsky,15572,18786
gracedb-test01.external_swift_subgrb,0,0
lvalert-dev.external_snews_subgrb,0,0
gracedb-test.test_gstlal_allsky,231,423362
lvalert-test.test_gstlal,0,0
lvalert-dev.test_integral,0,0
gracedb-test.test_mbta,0,273
gracedb-test.test_aframe,0,0
gracedb.test_integral,1512,16345
gracedb-playground.external_agile_mdc,3080,24236
snews.connection-testing,23,213
gracedb-test01.external_fermi_grb,584,8412
lvalert-dev.external_agile,0,0
gracedb.external_fermi_mdc,4718,72459
gracedb.external_snews_mdc,738,7624
gracedb-playground.cbc_pycbc_allsky,54579,2402823
gracedb.external_integral,1789,18444
gracedb.test_olib_allsky,0,0
lvalert-test.test_integral,0,0
gracedb-test01.test_cwb_bbh,0,6
gracedb-test01.test_agile_subgrb,0,0
gracedb-playground.cbc_gstlal,710773,10673817
gracedb-test01.test_agile_grb,0,0
gracedb.burst_olib,0,170
gracedb-test01.test_snews_subgrb,0,0
lvalert-test.external_integral,0,0
lvk-emfollow.gwalert-test,0,1194
gracedb-playground.test_pycbc_allsky,0,18397
lvalert-test.cbc_pycbc_mdc,0,0
snews.testing,107,103149
lvalert-test.test_superevent,0,0
gracedb.test_mly_allsky,0,1
hermes.spectroscopy,0,1
gracedb-playground.external_integral,572,47510
gracedb-test01.burst_cwb_imbh,0,120
gracedb-test01.external_fermi_subgrbtargeted,0,121
gracedb-test01.external_integral_grb,0,106
lvalert-test.test_pycbc,0,0
lvalert-test.external_agile_subgrb,0,0
gracedb.external_snews,760,7620
gracedb.test_mbta_allsky,0,1
lvk-emfollow.gwalert-minikube,0,0
gracedb-test01.burst_olib_allsky,0,5
lvalert-dev.superevent,26,43
gracedb-test01.cbc_spiir_earlywarning,0,11
gracedb.test_swift_grb,0,1
gracedb.burst_cwb,0,36762
gracedb-playground.test_swift,0,0
lvalert-dev.external_fermi_subgrbtargeted,0,0
gracedb-test01.test_integral_subgrb,0,0
lvalert-test.cbc_gstlal,0,0
gracedb-playground.test_mly_allsky,0,20
gracedb-test01.burst_mly_bbh,0,0
gracedb-playground.test_spiir_lowmass,10,24177
circuses-demo.dev_tom,0,0
gracedb.test_cwb_imbh,0,1
gracedb-test.external_integral_mdc,462,19474
hermes.photometry,0,3
hermes.astrometry,0,0
lvalert-test.external_integral_subgrb,0,0
tomtoolkit.test,0,0
gracedb-test01.burst_mly_allsky,862,862
microlensing.anomaly,0,0
gracedb.external_snews_grb,0,1
gracedb.test_cwb_bbh,0,1
lvalert-dev.external_snews_grb,0,0
gracedb-playground.cbc_spiir_mdc,0,1138
gracedb-test.cbc_mbta_allsky,0,178343
lvalert-dev.test_mly,0,0
demo.heartbeat,0,0
gracedb-test01.burst_mly,864,864
rubin.testing,0,0
lvalert-dev.test_cwb_bbh,0,0
gracedb-playground.superevent,342717,11192328
gracedb-test01.test_spiir_earlywarning,0,0
lvalert-dev.test_agile_grb,0,0
gracedb-test01.external_integral_subgrbtargeted,0,0
rubin.testing_alert,0,0
gracedb.cbc_mbta_ssm,0,19531
gracedb-test.external_fermi_subgrb,9,173
gracedb.test_mbtaonline_allsky,0,1
gracedb-test.test_mbta_lowmass,0,0
gracedb.external_fermi,6482,127176
snews.experiments-test,4691,70489
lvalert-dev.external_integral_subgrbtargeted,0,0
gracedb.test_integral_grb,1501,16342
lvalert-dev.test_agile,0,0
gracedb-test.external_swift_subgrb,0,0
lvalert-dev.external_integral_subgrb,0,0
gracedb-test.test_pycbc,0,569
lvalert-dev.cbc_pycbc_allsky,0,6
gracedb-playground.test_gstlal_lowmass,0,524
lvalert-test.test_spiir_allsky,0,0
gracedb-test.cbc_pycbc_earlywarning,0,1391
lvalert-test.test_fermi_subgrb,0,0
gracedb.cbc_mbta_allsky,0,14319
gracedb-playground.cbc_gstlal_earlywarning,24080,1103589
gracedb.external_integral_subgrb,0,1
gracedb-test01.test_gstlal_lowmass,0,0
gracedb-test.test_spiir,1,15805
gracedb.test_mly_mdc,0,1
gracedb.cbc_gstlal_mdc,6413,94997
gracedb-test01.burst_cwb_bbh,1155,2280
gracedb.test_agile_subgrbtargeted,0,1
lvalert-test.test_agile_subgrb,0,0
lvalert-dev.external_integral_grb,0,0
gracedb-playground.external_integral_mdc,45,17697
gracedb-test01.test_cwb_allsky,0,1
lvalert-test.burst_cwb_mdc,0,0
gracedb-test.test_agile_grb,0,0
gracedb-test01.test_snews_grb,0,0
lvalert-test.cbc_spiir_allsky,0,0
lvalert-dev.test_mly_bbh,0,0
gracedb-test.external_integral_subgrbtargeted,0,0
gracedb-playground.cbc_mbtaonline_allsky,0,143584
gracedb-test01.burst_cwb_mdc,0,733
gracedb.test_agile_grb,0,1
gracedb.cbc_gstlal_earlywarning,0,143713
gracedb-test01.cbc_mbtaonline_allsky,0,375
lvalert-dev.external_snews_supernova,0,0
gracedb-playground.test_swift_grb,0,0
gracedb-test.test_fermi_subgrb,0,1180
gracedb.external_agile_mdc,1629,17285
lvalert-test.cbc_spiir_mdc,0,0
lvalert-test.test_gstlal_allsky,0,0
lvalert-test.test_spiir,0,0
gracedb.external_integral_subgrbtargeted,0,1
gracedb-test01.test_mly_mdc,0,0
gracedb-test01.test_mly,0,0
gracedb-playground.burst_olib_allsky,0,5446
gracedb-test01.test_snews,10,123
lvalert-dev.external_agile_subgrbtargeted,0,0
gracedb.external_agile,1618,17322
lvalert-test.mdc_superevent,0,0
gracedb-test.burst_mly,2,21292
gracedb-test.test_fermi_grb,0,1196
lvalert-test.test_gstlal_earlywarning,0,0
gracedb.burst_mly_allsky,0,1
gracedb-test.test_cwb,0,506
gracedb-playground.external_swift_grb,247,66194
gracedb-playground.cbc_mbta_earlywarning,0,2952
gracedb-playground.test_aframe,0,0
gracedb-playground.test_superevent,0,3338
gracedb.test_pycbc_allsky,0,1
gracedb-test01.cbc_gstlal,85345,836035
lvalert-dev.external_integral,0,0
gracedb-test.test_mbta_earlywarning,0,0
gracedb-test01.test_swift_grb,0,0
sys.heartbeat,2590397,24864711
hermes.test,24,2408
gracedb-test.external_fermi_grb,898,20241
gracedb-test.test_integral_subgrbtargeted,0,0
igwn.gwalert-test,2184,42199
lvalert-test.external_fermi,0,0
gracedb.external_integral_mdc,1769,17040
gracedb-test.external_agile,1236,24765
lvalert-dev.heartbeat,0,0
gracedb.cbc_gstlal_ssm,0,107251
gracedb-playground.external_swift_subgrbtargeted,4531,21343
gracedb-test.external_integral_grb,0,6448
gracedb-playground.test_fermi_grb,0,20
gracedb-playground.test_cwb,1645,33054
gracedb-test.cbc_mbta_mdc,0,869
gracedb.test_cwb,0,3
gracedb-test01.cbc_spiir,0,2080
gracedb-test01.test_fermi_grb,0,0
lvalert-test.cbc_pycbc_allsky,0,0
lvalert-dev.burst_mly_bbh,0,0
gracedb-test.cbc_mbtaonline_mdc,0,1
lvalert-dev.external_swift,0,0
lvalert-test.test_snews_grb,0,0
gracedb-test.test_integral_grb,888,21979
gracedb-test01.burst_olib_mdc,0,0
gracedb-test01.external_snews_supernova,0,0
lvalert-test.superevent,0,0
gracedb-test.test_integral_subgrb,0,0
lvalert-test.cbc_mbtaonline_mdc,0,0
lvalert-test.test_cwb,0,0
gracedb-test.test_hardwareinjection,0,5
gracedb-test01.test_cwb,0,139
gracedb.test_gstlal,92,1027
gracedb.external_snews_subgrb,0,1
gracedb-test01.external_fermi,3766,47908
lvalert-test.cbc_spiir,0,0
gracedb-test01.test_cwb_imbh,0,1
gracedb-playground.test_pycbc,0,30318
lvalert-test.cbc_gstlal_earlywarning,0,0
gracedb-playground.test_cwb_bbh,0,4984
gracedb-playground.external_fermi_subgrb,356,19884
gracedb-test.superevent,1839,664874
lvalert-dev.burst_cwb_allsky,0,0
gracedb-playground.test_agile_grb,0,0
gracedb-test.cbc_gstlal_ssm,0,0
gracedb.external_agile_subgrb,0,1
gracedb.test_spiir_allsky,0,1
gracedb-test.test_cwb_bbh,0,24
sys.archive-ingest-test,0,0
lvalert-test.test_snews,0,0
gracedb-test.test_spiir_lowmass,0,258
gracedb.test_cwb_allsky,0,1
gracedb.test_mbta,0,2
gracedb-playground.cbc_aframe,1867,2892
lvalert-dev.test_fermi_subgrbtargeted,0,0
lvalert-dev.external_agile_grb,0,0
gracedb-playground.external_snews_grb,0,0
lvalert-dev.cbc_pycbc_mdc,0,0
gracedb-test.test_spiir_earlywarning,0,0
gracedb-test01.test_mbta,0,0
gracedb-test01.test_gstlal_earlywarning,0,0
gracedb.external_swift_grb,41,1188
gracedb-playground.external_swift,12099,136730
gracedb-test.test_spiir_allsky,0,10136
gracedb-playground.external_snews_mdc,442,7449
gracedb-test01.test_pycbc_allsky,0,2
lvalert-test.external_agile,0,0
gracedb.test_pycbc_earlywarning,0,1
gracedb-playground.external_fermi_grb,2277,152611
gracedb-test.test_pycbc_allsky,0,149
gracedb.test_snews,19,212
lvalert-dev.cbc_mbtaonline_allsky,0,0
gracedb-test.burst_cwb_mdc,0,941
gracedb-test.cbc_mbta,831,295758
microlensing.test,0,0
amon.nuem,0,14
gracedb-test.test_mly_bbh,0,0
lvalert-test.cbc_gstlal_allsky,0,0
gracedb-test01.test_spiir,0,11
lvalert-dev.cbc_gstlal_earlywarning,0,0
gracedb-test.test_swift,0,0
gracedb-playground.cbc_pycbc_mdc,0,1391
gracedb-test01.test_integral,581,16728
lvalert-dev.cbc_pycbc_earlywarning,0,0
gracedb-test01.test_fermi,0,333
gracedb-playground.test_gstlal_earlywarning,0,0
gracedb-test01.test_pycbc_earlywarning,0,0
igwn.gwalert-test01,2898,12308
gracedb.external_fermi_subgrb,18,190
snews.alert-firedrill,26,704
gracedb-test01.cbc_spiir_mdc,0,403
gracedb-test.test_spiir_allskylong,0,804
gracedb-test01.external_swift,336,13945
lvalert-test.test_agile_grb,0,0
gracedb-playground.test_agile,0,0
gracedb-test01.burst_cwb,2705,5546
gracedb-test.test_mbtaonline,0,4910
gracedb-test01.external_integral,66,8956
lvalert-dev.cbc_pycbc,3,9
lvalert-test.test_fermi_subgrbtargeted,0,0
circuses-demo.alert-integration-source,0,0
gracedb-test.test_mly_allsky,0,11
gracedb-test.cbc_spiir,0,57231
gracedb-test.test_mly,0,11
gracedb.test_fermi_grb,0,11
gracedb-test.external_chime,0,1
lvalert-test.external_swift_grb,0,0
gracedb-test.test_fermi_subgrbtargeted,0,0
gracedb-playground.test_fermi_subgrb,0,0
gracedb-playground.test_olib_allsky,0,0
gracedb-test.burst_mly_allsky,0,21269
gracedb-test.test_snews_grb,0,0
gracedb-test.external_integral_subgrb,0,0
lvalert-dev.test_fermi_subgrb,0,0
lvalert-dev.test_spiir_earlywarning,0,0
gracedb-playground.cbc_spiir_allsky,0,123467
gracedb-test01.cbc_spiir_allsky,0,1665
gracedb-test.external_fermi_mdc,3111,92629
lvalert-dev.cbc_mbtaonline,0,0
gracedb-playground.test_mbtaonline_allsky,0,0
sys.test,0,0
lvalert-dev.test_fermi,10,10
gracedb-test.cbc_pycbc_mdc,0,1093
gracedb-playground.test_snews_subgrb,0,0
gracedb.external_agile_grb,0,39
lvalert-dev.test_gstlal_allsky,0,25219
lvalert-test.external_integral_subgrbtargeted,0,0
lvalert-test.test_mbtaonline_allsky,0,0
gracedb-test.external_chime_frb,0,1
gracedb-test01.burst_cwb_allsky,1543,2406
lvalert-dev.test_mly_allsky,0,0
gracedb.test_spiir_earlywarning,0,1
gracedb-test01.test_swift,0,0
lvalert-dev.burst_cwb,0,0
gracedb-playground.test_gstlal,11,9778
lvalert-dev.external_swift_subgrb,0,0
gracedb-playground.burst_mly,15181,25278
gracedb.external_snews_supernova,0,1
gracedb-test01.test_mly_allsky,0,0
gracedb-playground.cbc_mbtaonline_mdc,0,0
lvalert-test.external_fermi_grb,0,0
gracedb-test.burst_mly_mdc,0,19
gracedb.external_swift,2510,34403
gracedb-test01.test_fermi_subgrbtargeted,0,0
gracedb-playground.cbc_spiir_earlywarning,0,13293
lvalert-dev.test_agile_subgrbtargeted,0,0
gracedb-test.external_swift_grb,90,2008
gracedb-playground.test_agile_subgrb,0,0
gracedb-test.external_swift_mdc,2653,38904
gracedb-playground.test_fermi_subgrbtargeted,0,0
gracedb-playground.cbc_gstlal_ssm,175102,1176040
gracedb-playground.test_integral_subgrbtargeted,0,0
gracedb-test.cbc_gstlal_mdc,63842,2204307
lvalert-test.burst_cwb_imbh,0,0
gracedb-test.cbc_aframe,0,50
circuses-demo.alert-integration-results,0,0
gracedb-test.test_swift_grb,0,0
lvk-emfollow.gwalert-test01,0,0
gracedb.test_snews_supernova,20,208
gracedb-test.external_snews_subgrb,0,0
gracedb-test.test_gstlal,793,521754
gracedb.test_mly,0,1
lvalert-dev.cbc_gstlal_mdc,0,0
gracedb-test.cbc_pycbc,0,13582
gracedb-playground.burst_cwb_mdc,0,1301
lvalert-dev.external_fermi,1,1
